NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUP160	267	35.82843017578125	0.97676647	Yes	
row_1	TPR	3364	0.0	0.70736164	No	
row_2	AAAS	4991	0.0	0.5658719	No	
row_3	NUP62	7284	0.0	0.36642882	No	
row_4	NDC1	8929	0.0	0.22337279	No	
row_5	NUP107	9261	0.0	0.19457014	No	
row_6	NUP133	9262	0.0	0.19457014	No	
row_7	NUP153	9264	0.0	0.19448312	No	
row_8	NUP155	9265	0.0	0.19448312	No	
row_9	NUP188	9266	0.0	0.19448312	No	
row_10	NUP205	9267	0.0	0.19448312	No	
row_11	NUP210	9268	0.0	0.19448312	No	
row_12	NUP214	9269	0.0	0.19448312	No	
row_13	NUP35	9270	0.0	0.19448312	No	
row_14	NUP37	9271	0.0	0.19448312	No	
row_15	NUP43	9272	0.0	0.19448312	No	
row_16	NUP50	9274	0.0	0.19439611	No	
row_17	NUP54	9276	0.0	0.19430909	No	
row_18	NUP85	9278	0.0	0.19422206	No	
row_19	NUP88	9279	0.0	0.19422206	No	
row_20	NUP93	9280	0.0	0.19422206	No	
row_21	POM121	9947	0.0	0.1362687	No	
row_22	POM121C	9948	0.0	0.1362687	No	
row_23	RAE1	10374	0.0	0.09928646	No	
row_24	RANBP2	10395	0.0	0.09754612	No	
row_25	SEC13	10949	0.0	0.049425688	No	
