NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
REACTOME_INTERLEUKIN_6_SIGNALING	11		Rejected!	
REACTOME_APOPTOSIS	179	152		
REACTOME_HEMOSTASIS	678	351		
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	55	49		
REACTOME_MAPK3_ERK1_ACTIVATION	10		Rejected!	
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	39	37		
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	30	30		
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	19	18		
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	56		Rejected!	
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	9		Rejected!	
REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	8		Rejected!	
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	25	24		
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	15		Rejected!	
REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA	5		Rejected!	
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS	9		Rejected!	
REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA	7		Rejected!	
REACTOME_FORMATION_OF_APOPTOSOME	11		Rejected!	
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	6		Rejected!	
REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE	13		Rejected!	
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	38	30		
REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE	8		Rejected!	
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE	20	17		
REACTOME_OPIOID_SIGNALLING	90	52		
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB	20		Rejected!	
REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB	10		Rejected!	
REACTOME_CA_DEPENDENT_EVENTS	37	20		
REACTOME_G_PROTEIN_MEDIATED_EVENTS	54	29		
REACTOME_ELECTRIC_TRANSMISSION_ACROSS_GAP_JUNCTIONS	5		Rejected!	
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	11		Rejected!	
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	51	18		
REACTOME_NEUROTRANSMITTER_CLEARANCE	11		Rejected!	
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	205	88		
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	270	110		
REACTOME_NEURONAL_SYSTEM	411	151		
REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX	58	51		
REACTOME_IRS_MEDIATED_SIGNALLING	48	25		
REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION	23	19		
REACTOME_MAPK1_ERK2_ACTIVATION	9		Rejected!	
REACTOME_SOS_MEDIATED_SIGNALLING	7		Rejected!	
REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX	33	32		
REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1	13		Rejected!	
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	9		Rejected!	
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	22	21		
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	30	28		
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS	27	15		
REACTOME_DISINHIBITION_OF_SNARE_FORMATION	5		Rejected!	
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE	35	23		
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR	81	75		
REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS	5		Rejected!	
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	82	78		
REACTOME_PROLACTIN_RECEPTOR_SIGNALING	15		Rejected!	
REACTOME_SIGNALING_BY_NODAL	23		Rejected!	
REACTOME_FERTILIZATION	26		Rejected!	
REACTOME_MEIOTIC_SYNAPSIS	79	21		
REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES	36	22		
REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	63	44		
REACTOME_SIGNALING_BY_ERBB2	50	43		
REACTOME_SIGNALING_BY_ERBB2_IN_CANCER	26	20		
REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR	11		Rejected!	
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA	75	67		
REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS	19	17		
REACTOME_SIGNALING_BY_ERBB4	58	39		
REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES	8		Rejected!	
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	106	85		
REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY	11		Rejected!	
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	50	42		
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN	13		Rejected!	
REACTOME_METHIONINE_SALVAGE_PATHWAY	6		Rejected!	
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE	9		Rejected!	
REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING	22	18		
REACTOME_PI3K_EVENTS_IN_ERBB4_SIGNALING	10		Rejected!	
REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING	14		Rejected!	
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	32	22		
REACTOME_DOWNREGULATION_OF_ERBB4_SIGNALING	9		Rejected!	
REACTOME_INTERLEUKIN_7_SIGNALING	36		Rejected!	
REACTOME_DEVELOPMENTAL_BIOLOGY	1168		Rejected!	
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	65	56		
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	734	481		
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	829		Rejected!	
REACTOME_SPRY_REGULATION_OF_FGF_SIGNALING	16	16		
REACTOME_CA2_ACTIVATED_K_CHANNELS	9		Rejected!	
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	35		Rejected!	
REACTOME_POTASSIUM_CHANNELS	103	24		
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	43		Rejected!	
REACTOME_TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS	12		Rejected!	
REACTOME_SPERM_MOTILITY_AND_TAXES	9		Rejected!	
REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING	6		Rejected!	
REACTOME_GRB7_EVENTS_IN_ERBB2_SIGNALING	5		Rejected!	
REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING	13		Rejected!	
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX	19	19		
REACTOME_TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1	16	16		
REACTOME_MITOCHONDRIAL_IRON_SULFUR_CLUSTER_BIOGENESIS	13		Rejected!	
REACTOME_RORA_ACTIVATES_GENE_EXPRESSION	18	17		
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION	27	22		
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	18		Rejected!	
REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS	16		Rejected!	
REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA	9		Rejected!	
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	13		Rejected!	
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND	16	15		
REACTOME_EXTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	5		Rejected!	
REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION	23		Rejected!	
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION	22		Rejected!	
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE	39		Rejected!	
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	21	21		
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	178	140		
REACTOME_SIGNALING_BY_SCF_KIT	43	33		
REACTOME_REGULATION_OF_KIT_SIGNALING	16		Rejected!	
REACTOME_REGULATION_OF_SIGNALING_BY_NODAL	12		Rejected!	
REACTOME_COLLAGEN_DEGRADATION	64	20		
REACTOME_TRANSLOCATION_OF_SLC2A4_GLUT4_TO_THE_PLASMA_MEMBRANE	72	59		
REACTOME_BETA_DEFENSINS	43		Rejected!	
REACTOME_DEFENSINS	53		Rejected!	
REACTOME_ALPHA_DEFENSINS	10		Rejected!	
REACTOME_TETRAHYDROBIOPTERIN_BH4_SYNTHESIS_RECYCLING_SALVAGE_AND_REGULATION	10		Rejected!	
REACTOME_REPRODUCTION	145	44		
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	140	61		
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	300	141		
REACTOME_COLLAGEN_FORMATION	90	40		
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	12		Rejected!	
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	27		Rejected!	
REACTOME_ACYL_CHAIN_REMODELING_OF_CL	6		Rejected!	
REACTOME_ACYL_CHAIN_REMODELLING_OF_PS	22		Rejected!	
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	29		Rejected!	
REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG	7		Rejected!	
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI	17		Rejected!	
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG	18		Rejected!	
REACTOME_HYDROLYSIS_OF_LPC	9		Rejected!	
REACTOME_SYNTHESIS_OF_PG	8		Rejected!	
REACTOME_SYNTHESIS_OF_PA	39	22		
REACTOME_SYNTHESIS_OF_PC	28	22		
