NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EIF4E	237	36.10745620727539	0.481302	Yes	
row_1	NUP160	267	35.82843017578125	0.9768374	Yes	
row_2	TPR	3364	0.0	0.7072449	No	
row_3	AAAS	4991	0.0	0.5656566	No	
row_4	ALYREF	6487	0.0	0.4354755	No	
row_5	NUP62	7284	0.0	0.36616167	No	
row_6	NCBP1	8905	0.0	0.22509584	No	
row_7	NCBP2	8906	0.0	0.22509584	No	
row_8	NDC1	8929	0.0	0.22318013	No	
row_9	NUP107	9261	0.0	0.19435741	No	
row_10	NUP133	9262	0.0	0.19435741	No	
row_11	NUP153	9264	0.0	0.19427034	No	
row_12	NUP155	9265	0.0	0.19427034	No	
row_13	NUP188	9266	0.0	0.19427034	No	
row_14	NUP205	9267	0.0	0.19427034	No	
row_15	NUP210	9268	0.0	0.19427034	No	
row_16	NUP214	9269	0.0	0.19427034	No	
row_17	NUP35	9270	0.0	0.19427034	No	
row_18	NUP37	9271	0.0	0.19427034	No	
row_19	NUP43	9272	0.0	0.19427034	No	
row_20	NUP50	9274	0.0	0.19418326	No	
row_21	NUP54	9276	0.0	0.19409618	No	
row_22	NUP85	9278	0.0	0.19400911	No	
row_23	NUP88	9279	0.0	0.19400911	No	
row_24	NUP93	9280	0.0	0.19400911	No	
row_25	NUP98	9281	0.0	0.19400911	No	
row_26	NXF1	9291	0.0	0.19322541	No	
row_27	POM121	9947	0.0	0.13618954	No	
row_28	POM121C	9948	0.0	0.13618954	No	
row_29	RAE1	10374	0.0	0.09918152	No	
row_30	RANBP2	10395	0.0	0.09743997	No	
row_31	SEC13	10949	0.0	0.049286015	No	
row_32	SEH1L	10972	0.0	0.047370307	No	
row_33	SLBP	11159	0.0	0.03117386	No	
